Player,Span,TEAM,Mat,Inns,NO,Runs,HS,Ave,BF,SR,HUND,FIFTY,DUCKS,FOURS,SIXERS
Noor Ahmad (CSK),2026-2026,CSK,14,4,1,11,8,3.66,23,47.82,0,0,0,0,1
HV Patel (SRH),2026-2026,SRH,5,3,0,10,6,3.33,9,111.11,0,0,1,2,0
Krish Bhagat (MI),2026-2026,MI,3,2,1,10,7,10,21,47.61,0,0,0,0,0
Kuldeep Yadav (DC),2026-2026,DC,12,4,1,9,4,3,21,42.85,0,0,0,0,0
TA Boult (MI),2026-2026,MI,5,2,1,8,7*,8,4,200,0,0,0,0,1
JJ Bumrah (MI),2026-2026,MI,13,2,1,7,5*,7,7,100,0,0,0,1,0
LG Pretorius (RR),2026-2026,RR,2,2,0,7,7,3.5,8,87.5,0,0,1,0,0
MJ Henry (CSK),2026-2026,CSK,3,2,0,7,5,3.5,10,70,0,0,0,1,0
E Malinga (SRH),2026-2026,SRH,15,3,2,7,5,7,17,41.17,0,0,0,0,0
R Minz (MI),2026-2026,MI,2,2,1,6,5,6,4,150,0,0,0,1,0
DA Payne (SRH),2026-2026,SRH,2,1,1,6,6*,-,5,120,0,0,0,0,0
Avesh Khan (LSG),2026-2026,LSG,7,4,3,6,4*,6,6,100,0,0,0,1,0
M Prasidh Krishna (GT),2026-2026,GT,12,1,1,6,6*,-,7,85.71,0,0,0,1,0
Harpreet Brar (PBKS),2026-2026,PBKS,2,1,1,5,5*,-,3,166.66,0,0,0,1,0
AJ Hosein (CSK),2026-2026,CSK,7,3,3,5,3*,-,3,166.66,0,0,0,0,0
MP Yadav (LSG),2026-2026,LSG,4,1,0,5,5,5,5,100,0,0,0,1,0
AS Tendulkar (LSG),2026-2026,LSG,1,1,1,5,5*,-,5,100,0,0,0,0,0
CV Varun (KKR),2026-2026,KKR,11,2,0,5,5,2.5,6,83.33,0,0,1,1,0
Sakib Hussain (SRH),2026-2026,SRH,11,1,1,5,5*,-,7,71.42,0,0,0,1,0
Mohammed Siraj (GT),2026-2026,GT,17,2,0,5,5,2.5,16,31.25,0,0,1,1,0
Ravi Singh (RR),2026-2026,RR,1,1,0,4,4,4,2,200,0,0,0,1,0
SR Dubey (KKR),2026-2026,KKR,4,1,1,4,4*,-,2,200,0,0,0,1,0
,,,,,,,,,,,,,,,
